1	17	SKIP	-	Title, research method, scope, and introductory headings.
18	18	SAME	C2	Collections read at partially ordered times.
19	19	NEW-REASON	P0,C2	Timestamped differences reconstruct collection contents by summation.
20	20	NEW-REASON	C2,W3	Time domains require a partial order and least upper bounds.
21	21	NEW-REASON	C2	Antichain frontiers certify that earlier updates cannot arrive.
22	22	NEW-REASON	C2	Reads wait for completion rather than emit partial answers.
23	24	SAME	A1	Recomputation requires retained inputs, times, and logic.
25	26	OWN-LIST	C2,E3,W3	DISAGREES: authoritative ordering stamps and durable scalar mappings required before first record.
27	32	SKIP	-	Section headings.
33	33	NEW-REASON	C2	Nested-loop timestamps and precursor counts determine completion.
34	34	SAME	P0	Append-only changes as stored history.
35	36	SAME	C2	Outputs correspond exactly to a stated input cut.
37	38	SAME	C2	Explicit change times and reported completeness.
39	40	SKIP	-	Section heading.
41	42	DISAGREES	E3	Gate-assigned time prescribes order rather than merely recording when.
43	44	NEW-REASON	C2	Explicit histories turn coordination problems into timestamped computation.
45	46	NEW-REASON	C2,W3	Chosen interleaving aligns consumers without making independent sources mutually consistent.
47	48	NEW-REASON	C2,W3	Durable sidecar remapping preserves source data and enables consistent recovery.
49	50	CARRIED	C2	Q5: dynamically arriving partitions require representable not-yet-started positions.
51	52	CARRIED	C2	Q3: collection read and write frontiers bound correctly readable positions.
53	54	NEW-REASON	C2	Read-time selection trades responsiveness, freshness, and monotonic observations.
55	56	NEW-REASON	C2	Capture upstream position, then wait for replication to reach it.
57	58	NEW-REASON	C2	Eventually consistent streaming may remain systematically wrong and trigger irreversible actions.
59	60	CARRIED	C2	Q3: progress counts certify completeness despite duplicated or reordered updates.
61	62	NEW-REASON	C6	Upserts force consumers to retain previous values just to interpret changes.
63	64	ABOVE	E6,A1	Questions exhaustive provenance; compute useful explanations on demand.
65	66	NEW-REASON	W1,E6	Shared indexes and parameter collections reduce standing-query overhead.
67	68	DISAGREES	E1,P0	Verdicts become views; failed intents and unobserved writes may disappear. CARRIED Q1.
69	70	NEW-REASON	A1	Clock-dependent views require explicit future validity boundaries.
71	74	SKIP	-	Section heading and transition.
75	75	NEW-REASON	C2	Held timestamp tokens represent outstanding rights to write and constrain progress.
76	76	NEW-CASE	A2,C2	Virtual-time configuration cutovers originated in live reconfiguration.
77	77	NEW-CASE	C2,A1	Materialize added durable reclocking because original sources were not exactly replayable.
78	78	CARRIED	C3,A3	Q7: atomic multi-shard writes use one coordinating shard, imposing contention and scale limits.
79	79	NEW-CASE	C6	Supporting incoming upserts required retaining the entire keyed collection.
80	83	SKIP	-	Biographical reflection and section heading.
84	84	DISAGREES	W3,C2	Requires a store-wide scalar timeline and durable partition map before first record.
85	85	NEW-REASON	A3,W4	Multiple checking gates require a separate lightweight time-assignment authority.
86	86	CARRIED	C3	Q7: sharing a time source, rather than physical co-location, supplies cross-partition order.
87	87	DISAGREES	E3	Uses the gate's clock for order; rejects a separate decorative timestamp.
88	88	CARRIED	C2	Q3: index upper frontier defines valid reads; readers must stay behind it or wait.
89	89	NEW-REASON	E5	Recorded reads pin versions; following and staleness are derived views.
90	90	ABOVE	E6,A1	Questions per-output provenance for deterministic results; non-rederivable results retain empty reads too.
91	91	NEW-REASON	C6	Explicit retraction targets allow stateless change consumers.
92	92	DISAGREES	E1	Offers and verdicts may have shorter retention instead of permanent verdict storage.
93	93	DISAGREES	P0	Correct retained-window reads replace the never-rewritten-content invariant.
94	94	DISAGREES	C5,P0	Offers retraction plus compaction as physical erasure, beyond the ledger's two roads.
95	95	SAME	A2	Runtime rebuilds become readable timeline events.
96	96	DISAGREES	P0,E7	Recommends aggressive compaction of recorded attention inputs.
97	98	NEW-REASON	W1,E6	Index patterns together and join landings rather than maintaining millions of subscriptions.
99	100	SKIP	-	Section heading.
101	102	SAME	P0,C2	Append-only timestamped inputs and exact derived views.
103	104	DISAGREES	P0	Materialize deliberately compacts history; also contrasts opaque tools and planetary scope.
105	106	SKIP	-	Section heading.
107	108	NEW-REASON	C2,W3	Keyed queries may converge when relevant updates stop; simpler time and baseline costs matter.
109	114	SKIP	-	Section headings.
115	116	NEW-CASE	C2	Bank-transfer tests exposed impossible totals in Flink and ksqlDB.
117	118	SKIP	-	Section heading.
119	120	NEW-REASON	C2	Internal consistency requires each output to match some supplied input subset.
121	122	NEW-REASON	C2	Streaming inconsistency can produce impossible values indefinitely, unlike merely stale key-value reads.
123	124	NEW-CASE	C2	Unsynchronized credit and debit streams manufacture money.
125	125	NEW-CASE	C2,X1	Emitting after each related update makes three of four aggregate results wrong.
126	126	NEW-REASON	E2,C2	Output corrections must be distinguishable from changes in the world.
127	128	NEW-REASON	C2,E1	Reject inputs only at the edge so downstream operators share the same input set.
129	130	NEW-CASE	C2,E2	Transient inconsistency can trigger a false overdraft warning.
131	132	NEW-REASON	C2	Internal consistency removes the user's obligation to reason about event interleavings.
133	134	NEW-REASON	C2	Completeness metadata amortizes over batches; correctness primarily trades against latency.
135	136	CARRIED	C2	Q3: output frontiers let downstream consumers detect complete timestamped results.
137	138	NEW-REASON	E6	Dependency granularity trades redundant recomputation against graph-metadata overhead.
139	140	NEW-REASON	E6	Lazy computation cannot notify changes; wanted-output inputs approximate selective eagerness.
141	142	NEW-REASON	P0	Logged state supports causal debugging and historical invariant checks.
143	144	SKIP	-	Section heading.
145	145	NEW-CASE	W3	Brandon points from his differential-dataflow implementation toward simpler totally ordered DBSP.
146	146	NEW-CASE	X5,C2	Settled-output tests missed intermediate-output consistency failures.
147	147	NEW-REASON	X5,C2	Failure dynamics proved easier to trigger and harder to predict than expected.
148	148	NEW-REASON	C2	Multiple watermark waves permit early outputs and late inputs while preserving consistency.
149	150	NEW-REASON	W1	Hidden operator state and unclear memory costs hindered differential-dataflow adoption.
151	152	SKIP	-	Section heading.
153	153	NEW-REASON	C2	Impossible outputs are a stronger failure than stale outputs.
154	154	NEW-CASE	C2,E2	Lagging reads and branching work can mix moments or conceal partial-answer corrections.
155	155	CARRIED	C2	Q3: record index progress and forbid answering beyond it.
156	156	NEW-REASON	E6	Pattern-grain reads avoid per-value dependency metadata dominating computation.
157	157	NEW-REASON	W3	Pay partial-order complexity only for loops or independently advancing inputs.
158	158	NEW-REASON	E2,C2	Crossings distinguish partial answers from answers complete at their cut.
159	159	SAME	A1,A2	Runtime version is needed to check historical outputs.
160	161	NEW-REASON	E6	Wanted outputs become maintained input data.
162	163	SKIP	-	Section heading.
164	165	NEW-REASON	A1,E2	Model-shaped answers may lack the batch oracle used to check relational outputs.
166	167	SKIP	-	Section heading.
168	169	NEW-REASON	C2,W3	Weak consistency imposes reasoning costs; simpler time reduces complexity.
170	175	SKIP	-	Section headings.
176	177	NEW-REASON	C3,A3	Coordinate only non-monotone logic, with time and order represented as data.
178	179	SKIP	-	Section heading.
180	181	NEW-REASON	C3,A3,C2	Monotonicity determines whether missing information requires coordination.
182	183	CARRIED	C5	Q10: tombstones preserve monotone histories while masking immutable values.
184	185	NEW-CASE	C2,E5	Shopping-cart manifests delay checkout until every named update arrives.
186	187	NEW-CASE	C2	Early checkout reads a Ferrari before its removal reaches the replica.
188	189	CARRIED	C3	Q7: per-partition sealing permits more asynchrony than a shared total order.
190	191	NEW-REASON	E3	Receiver time and carried premise time expose temporal causality as data.
192	193	NEW-REASON	C3	Causal ordering is required specifically for non-monotone derivations.
194	195	NEW-REASON	E5	Alternative lineage supports enable solver-based failure analysis.
196	197	SKIP	-	Section heading.
198	198	SKIP	-	Language adoption history and implementation direction.
