1	29	SKIP	-	Title, scope, method, and introductory headings.
30	31	OWN-LIST	C1,P0	Three names; DISAGREES by requiring hashes on every pointer.
32	33	OWN-LIST	P0,C5,W2	Four promises, canonical form, separable values, and impersonal surviving metadata.
34	35	OWN-LIST	A2,A1,E2,E1	Runtime versions, logged upgrades, and crossing checksums.
36	37	OWN-LIST	C3,C2,E3	Keyed order, index frontier, and writer knowledge.
38	39	OWN-LIST	E1	Log offers first; DISAGREES by allowing verdict trimming.
40	41	OWN-LIST	C7	Extension rules and named fields before fixed parts.
42	43	SKIP	-	Challenge heading.
44	44	ABOVE	A1	Challenges never storing running answers through playback costs.
45	46	ABOVE	-	Challenges event sourcing as the substance of the entire system.
47	50	SKIP	-	Separator and heading.
51	52	NEW-REASON	A1,P0	Capture nondeterministic inputs before logging to make replay deterministic.
53	54	OWN-LIST	-	Introduces three choices required before the first record.
55	56	OWN-LIST	C3,W3	Ordering scope; DISAGREES by requiring an immediate choice.
57	58	OWN-LIST	P0	Retention depends on whether the log contains records or redo instructions.
59	60	OWN-LIST	P0	External verifiability versus operator trust.
61	66	SKIP	-	Section headings.
67	68	CARRIED	C3,C1	Q7: consistency belongs to a uniquely keyed entity.
69	69	SKIP	-	Quotation heading.
70	70	ABOVE	A1	Readable state stored as a disposable log-derived cache.
71	71	SAME	P0	Semantic immutability permits physical changes.
72	72	CARRIED	C5,P0	Q10: deletion may yield absence but never substituted content.
73	73	NEW-CASE	C1,X2	Undated newspaper reference fails to identify immutable content; schemas also need pinned references.
74	74	DISAGREES	C1	Names immutable data by key and version rather than an independent random id.
75	75	NEW-REASON	C6	Linear versus branching version histories require different parent cardinalities.
76	76	CARRIED	C3	Q7: only a shared unique key guarantees transactional scope.
77	77	NEW-REASON	E3	Messages contain past observations; distant services share no simultaneous present.
78	78	NEW-REASON	E1	Durable processing transitions must preserve identical replies on retries.
79	79	NEW-REASON	C1	Identity scope, nonreuse, and central allocation scalability.
80	81	NEW-REASON	P0	More faithful retained history costs more.
82	83	CARRIED	C3,C2	Q5,Q7: repartitioning moves new versions while old versions remain in their original logs.
84	84	SKIP	-	Question mapping heading.
85	85	SAME	P0	Physical re-encoding must preserve meaning.
86	86	CARRIED	C5,P0	Q10: tombstones preserve absence without replacing content.
87	87	NEW-REASON	C1,E5	Stored pointers pin versions; following latest is computed by readers.
88	88	SAME	C4,X2	Keys identify versioned schema; facts or verdicts pin checked grammar.
89	89	DISAGREES	C1,C6	Immutable names are key-version pairs rather than independent random ids.
90	90	CARRIED	C3	Q7: only one key guarantees shared ordering and placement.
91	91	CARRIED	C2	Q3: alternate indexes may lag, with no reported applied-position marker.
92	92	NEW-REASON	E1	Durable retry decisions need not be records in the same log.
93	93	NEW-REASON	E3	Each service has its own present; received data describes the past.
94	94	NEW-REASON	E6	Read logging can remain idempotent without changing substantive entity behavior.
95	95	NEW-REASON	C1	Identifier uniqueness must cover all users and prohibit reuse.
96	97	SKIP	-	Unanswered questions.
98	99	ABOVE	A1	Challenges transferring private mutable inside-state designs to one shared immutable store.
100	101	NEW-CORNER	-	Records must preserve intended operations, not merely resulting values.
102	103	SKIP	-	Voice heading.
104	105	CARRIED	E1,C3	Q1,Q7: shared-log systems evolved from ordered transaction records to partial ordering and replaceable logs.
106	106	SKIP	-	Quotation heading.
107	107	SAME	E3	Log position supplies logical time independently of physical clocks.
108	108	SAME	A3,W4	Sequencer is an optimization rather than a safety requirement.
109	109	DISAGREES	E6,E5	Every transaction logs object-version read rows and validates all of them.
110	110	NEW-REASON	E1	Decision records are required when a reader lacks enough objects to derive the verdict.
111	111	SAME	C4	Bootstrap directory has a fixed identifier.
112	112	CARRIED	C5,P0	Q10: checkpoint trimming trades away rollback and historical indexing.
113	113	NEW-REASON	C3,W3	Regional partitions can make a system-wide total order unavailable.
114	114	NEW-REASON	C2,E5	Snapshots are vectors; records carry the writer's causal frontier.
115	115	ABOVE	-	Log reconfiguration requires consensus metadata outside the log to survive log unavailability.
116	116	DISAGREES	C1	Stable preassigned positions provide retry identity instead of independent random ids.
